Trial	Stimulus	ExportStartTrialTimems	ExportEndTrialTimems	Participant	Color	CategoryGroup	Category	EyeLR	AOIName	AOIGroup	AOIScope	AOIOrder	AOISizepx	AOICoverage	TimetoFirstAppearancems	AppearanceCount	VisibleTimems	VisibleTime	Index	EventStartTrialTimems	EventEndTrialTimems	EventDurationms	FixationPositionXpx	FixationPositionYpx	FixationAveragePupilSizeXpx	FixationAveragePupilSizeYpx	FixationAveragePupilDiametermm	FixationDispersionXpx	FixationDispersionYpx	MousePositionXpx	MousePositionYpx
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	315	99802.6	99934.6	132	1327.8	970.5	18.4	18.4	4.8	26	22.9	-	-
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	319	101002.4	101258.4	256	1308.6	996.9	18.8	18.8	4.8	31.7	63.5	-	-
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	321	101562.5	102246.4	684	1330.3	993.1	20.1	20.1	5	69.2	70.8	-	-
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	322	102294.4	102518.4	224	1255.5	962.7	19.7	19.7	5	16.9	47.5	-	-
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	323	102538.4	102686.4	148	1203.6	976.8	19.6	19.6	5	25.5	60.8	-	-
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	324	102790.3	102866.2	75.9	1061.3	953.7	19.5	19.5	4.9	12.2	11.6	-	-
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	325	102890.1	103174.3	284.2	1120.6	926.8	19.4	19.4	4.9	28.2	37.8	-	-
Trial001	RichText3.rtf	0	113678.7	1017	DarkOliveGreen	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	113678.7	100	327	103374.3	103510.3	136	1052	922	19.1	19.1	4.9	39.6	17.2	-	-
Trial001	RichText3.rtf	0	229908.3	1026	DeepPink	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	229908.3	100	677	226915.3	227175.3	260	1274.8	962	12.2	12.2	3.2	28	64	-	-
Trial001	RichText3.rtf	0	229908.3	1026	DeepPink	Eye	Fixation	Right	43	35	Local	1	147804	7.1	0	1	229908.3	100	678	227203.3	227427.3	224	1197.4	971.7	12.3	12.3	3.3	23	13.8	-	-
